STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
0	37218257	0	COTE	SHARE	REGS	2018-09-03 13:00:11.584	1	87.000000	10	1	20180903	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-04 00:00:13.276	system	system		0	0	0	3	1002117	10	0	0	0.000000	0.000000	12			72/out of term	0	227963836	0	N	3	N	N
1	37223717	0	COTE	SHARE	REGS	2018-09-04 17:49:43.191	1	87.000000	10	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 17:49:43.191	UK8GW3	192.168.252.2		135091	0	0	3	1002479	10	0	0	0.000000	0.000000	0				0	228197019	0	N	3	N	N
1	37223405	0	CRMC	SHARE-ATS	XRS1	2018-09-04 17:04:06.672	1	0.950000	1	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 17:04:06.672	UK8GW3	192.168.252.2		135053	0	0	3	1012931	1	0	0	0.000000	0.000000	0				0	228166117	0	N	3	N	N
0	37223405	0	CRMC	SHARE-ATS	XRS1	2018-09-04 17:04:06.672	1	0.950000	1	1	20180904	0	0	0	1	0.000000	1	1	0	16756014	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 18:00:00.719	UK8GW3	192.168.252.2		0	0	0	3	1012931	1	1	1	0.950000	0.950000	2				0	228205762	0	N	3	N	N
1	37141191	0	CRPC	SHARE-ATS	XRS1	2018-09-04 14:19:14.364	2	2.860000	4933	2	0	0	0	0	1	0.000000	1	1	0	16729268	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 14:19:14.365	UK8GW3	192.168.252.2		135014	0	0	3	1032738	5000	67	0	2.500000	0.000000	1				0	228085884	0	N	3	N	N
1	37222257	0	DAFR	SHARE	REGS	2018-09-04 12:57:51.142	1	0.014400	20000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 12:57:51.142	UK8GW3	192.168.252.2		134983	0	0	3	1031605	20000	0	0	0.000000	0.000000	0				0	228053334	0	N	3	N	N
1	37222257	0	DAFR	SHARE	REGS	2018-09-04 13:02:57.041	1	0.014400	21000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 13:02:57.041	UK8GW3	192.168.252.2		134984	0	0	3	1031605	21000	0	0	0.000000	0.000000	0				0	228055544	0	N	3	N	N
1	37223125	0	DIGI	SHARE	REGS	2018-09-04 15:59:58.658	2	30.000000	40	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 15:59:58.658	UK8GW3	192.168.252.2		135035	0	0	3	1002117	40	0	0	0.000000	0.000000	0				0	228125919	0	N	3	N	N
1	37223621	0	EBDAXTL56	STR-PRD	RGSP	2018-09-04 17:33:46.61	1	30.100000	30	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 17:33:46.61	UK8GW3	192.168.252.2		135080	0	0	3	1032635	30	0	0	0.000000	0.000000	0				0	228185584	0	N	3	N	N
1	37222081	0	EBDAXTS58	STR-PRD	RGSP	2018-09-04 12:24:06.598	1	70.000000	100	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 12:24:06.598	UK8GW3	192.168.252.2		134969	0	0	3	1028134	100	0	0	0.000000	0.000000	0				0	228039278	0	N	3	N	N
